date,index_code,open,high,low,close,volume
2020-09-04,HNXINDEX,126.05,126.16,123.91,126.15,51247233
2020-09-07,HNXINDEX,126.15,126.66,124.73,125.43,52359123
2020-09-08,HNXINDEX,125.43,125.89,124.7,124.8,50452308
2020-09-09,HNXINDEX,124.8,125.93,123.59,125.93,40073990
2020-09-10,HNXINDEX,125.93,126.95,125.7,125.82,40616314
2020-09-11,HNXINDEX,125.93,126.78,124.87,126.21,48532557
2020-09-14,HNXINDEX,126.21,127.54,126.21,127.43,55291252
2020-09-15,HNXINDEX,127.43,128.08,127.17,127.93,57734928
2020-09-16,HNXINDEX,127.93,128.15,127.38,127.87,53020156
2020-09-17,HNXINDEX,127.87,129.41,127.54,128.47,58380014
2020-09-18,HNXINDEX,128.48,129.21,128.23,129.2,43222995
2020-09-21,HNXINDEX,129.2,131.89,129.2,130.58,69188597
2020-09-22,HNXINDEX,130.58,132.19,129.94,132.19,66597919
2020-09-23,HNXINDEX,132.19,133.68,132.03,132.64,50990054
2020-09-24,HNXINDEX,132.65,132.83,131.32,131.71,45847426
2020-09-25,HNXINDEX,131.71,132.25,130.22,131.52,48371754
2020-09-28,HNXINDEX,131.52,133.55,131.52,133.12,52337676
2020-09-29,HNXINDEX,133.12,134.08,131.47,131.74,62257668
2020-09-30,HNXINDEX,131.74,132.93,131.05,132.93,43369120
2020-10-01,HNXINDEX,132.93,133.94,132.37,133.5,54159767
2020-10-02,HNXINDEX,133.5,135.92,132.65,134.91,87915215
2020-10-05,HNXINDEX,134.76,137.3,134.76,137.19,79313307
2020-10-06,HNXINDEX,137.19,138.67,136.78,137.77,58134867
2020-10-07,HNXINDEX,137.77,138.05,136.04,136.13,68387602
2020-10-08,HNXINDEX,136.13,136.99,134.49,135.61,65778660
2020-10-09,HNXINDEX,135.61,137.43,135.48,136.91,65034732
2020-10-12,HNXINDEX,136.91,138.16,135.65,135.9,64210503
2020-10-13,HNXINDEX,135.9,136.32,135.07,136.15,35134021
2020-10-14,HNXINDEX,136.15,137.75,136.1,137.49,59137588
2020-10-15,HNXINDEX,137.52,140.62,137.32,139.66,62834586
2020-10-16,HNXINDEX,139.66,140.88,138.81,139.82,45056580
2020-10-19,HNXINDEX,139.82,141.85,139.82,140.88,47334961
2020-10-20,HNXINDEX,140.88,141.28,139.48,140.33,46051796
2020-10-21,HNXINDEX,140.33,141.41,139.98,139.98,49565097
2020-10-22,HNXINDEX,139.98,141.42,139.48,140.86,41794839
